Div. No.,Division Name,School No.,School Name,Low Grade,High Grade,Grade PK,Grade JK,Grade KG,Grade T1,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade PG,Total Full-Time,Part-time Students,Total Full-time & Part-time Students
1,Accomack County Public Schools,701,ACCAWMACKE ELEM,PK,5,32,,80,,81,95,96,69,87,,,,,,,,,540,0,540
1,Accomack County Public Schools,540,ARCADIA HIGH,9,12,,,,,,,,,,,,,190,165,134,114,3,606,0,606
1,Accomack County Public Schools,704,ARCADIA MIDDLE,6,8,,,,,,,,,,162,175,158,,,,,,495,0,495
1,Accomack County Public Schools,80,CHINCOTEAGUE ELEM,PK,5,18,,39,,35,45,38,31,49,,,,,,,,,255,0,255
1,Accomack County Public Schools,580,CHINCOTEAGUE HIGH,6,12,,,,,,,,,,38,32,34,52,42,44,40,,282,0,282
1,Accomack County Public Schools,600,KEGOTANK ELEM,PK,5,47,,89,,80,84,108,93,95,,,,,,,,,596,0,596
1,Accomack County Public Schools,702,METOMPKIN ELEM,PK,5,36,,99,,110,96,108,101,84,,,,,,,,,634,0,634
1,Accomack County Public Schools,70,NANDUA HIGH,9,12,,,,,,,,,,,,,202,225,167,152,1,747,0,747
1,Accomack County Public Schools,703,NANDUA MIDDLE,6,8,,,,,,,,,,193,178,192,,,,,,563,0,563
1,Accomack County Public Schools,590,PUNGOTEAGUE ELEM,PK,5,35,,78,,68,81,72,76,72,,,,,,,,,482,0,482
1,Accomack County Public Schools,530,TANGIER COMBINED,KG,12,,,3,,3,3,3,2,8,6,10,7,1,4,7,9,,66,0,66
2,Albemarle County Public Schools,160,AGNOR-HURT ELEM,PK,5,35,,81,,85,73,88,90,73,,,,,,,,,525,0,525
2,Albemarle County Public Schools,"1,060",ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,6,8,,,,,,,,,,17,15,18,,,,,,50,0,50
2,Albemarle County Public Schools,880,ALBEMARLE HIGH,9,12,,,,,,,,,,,,,506,482,499,499,,"1,986",3,"1,989"
2,Albemarle County Public Schools,"1,053",BAKER-BUTLER ELEM,PK,5,11,,91,,87,111,105,100,90,,,,,,,,,595,0,595
2,Albemarle County Public Schools,900,BENJAMIN F YANCEY ELEM,KG,5,0,,15,,24,18,16,21,26,,,,,,,,,120,0,120
2,Albemarle County Public Schools,100,BROADUS WOOD ELEM,PK,5,40,,34,,38,42,41,52,40,,,,,,,,,287,0,287
2,Albemarle County Public Schools,941,BROWNSVILLE ELEM,PK,5,25,,106,,115,138,122,137,109,,,,,,,,,752,0,752
